iter	MultiClass
205	1.014435788
206	1.014325187
207	1.014226982
208	1.014167382
209	1.01399335
210	1.013932437
211	1.013881453
212	1.013771366
213	1.013667006
214	1.013568849
215	1.01341821
216	1.013322169
217	1.013111732
218	1.013050021
219	1.012971597
220	1.012882885
221	1.012757567
222	1.012644637
223	1.012580318
224	1.012491563
225	1.012411942
226	1.012277474
227	1.012082359
228	1.012054951
229	1.011976391
230	1.011853615
231	1.011747855
232	1.011569777
233	1.011513988
234	1.011483544
235	1.011402381
236	1.01124324
237	1.011152009
238	1.011040137
239	1.010986191
240	1.010891366
241	1.010760579
242	1.01070016
243	1.010604005
244	1.010567639
245	1.010378291
246	1.010293457
247	1.010223142
248	1.010164782
249	1.010058497
250	1.009953417
251	1.009811335
252	1.00963159
253	1.009551799
254	1.009458045
255	1.009366936
256	1.009274802
257	1.009144669
258	1.009049038
259	1.0088861
260	1.008798886
261	1.008617848
262	1.008484125
263	1.008419879
264	1.008341355
265	1.00818992
266	1.008068719
267	1.008011257
268	1.007840901
269	1.007738272
270	1.007624312
271	1.007572619
272	1.007524751
273	1.00746459
274	1.007395659
275	1.007302891
276	1.007136128
277	1.006984211
278	1.006806541
279	1.006760757
280	1.006622906
281	1.006527767
282	1.006339671
283	1.006222698
284	1.006178576
285	1.006071016
286	1.00588413
287	1.005821209
288	1.00569452
289	1.005605296
290	1.005460815
291	1.005297669
292	1.005220019
293	1.005149083
294	1.005093164
295	1.004960732
296	1.00479545
297	1.004666544
298	1.004572832
299	1.00447265
300	1.004375316
301	1.004268612
302	1.004165082
303	1.004126347
304	1.004075813
305	1.004016978
306	1.003949368
307	1.00380741
308	1.003785774
309	1.003688244
310	1.003561075
311	1.003441574
312	1.003354354
313	1.003321635
314	1.003257207
315	1.003142991
316	1.002968525
317	1.002865126
318	1.002777387
319	1.002710338
320	1.0026742
321	1.002586265
322	1.002436842
323	1.00234914
324	1.002245112
325	1.001980764
326	1.001884014
327	1.001750232
328	1.001653032
329	1.001572579
330	1.001484652
331	1.001435296
332	1.001356924
333	1.001304466
334	1.001165725
335	1.001072726
336	1.000962373
337	1.000889609
338	1.000780729
339	1.000661772
340	1.000568002
341	1.000501946
342	1.000396978
343	1.000273155
344	1.000206135
345	1.000135726
346	1.000055112
347	1.000030424
348	0.9999455393
349	0.9998748308
350	0.9997359262
351	0.9996284984
352	0.9994746384
353	0.9993582926
354	0.9992220568
355	0.9991382964
356	0.9990931928
357	0.9990199605
358	0.9989632764
359	0.998909306
360	0.9987877005
361	0.9987036039
362	0.9986397289
363	0.9986233426
364	0.9985504087
365	0.9984074385
366	0.998352198
367	0.9983244784
368	0.9981963312
369	0.9981346075
370	0.9980527362
371	0.9979510963
372	0.9978638526
373	0.997800454
374	0.997693946
375	0.9976147867
376	0.9975146071
377	0.9974697031
378	0.9973914599
379	0.9973283872
380	0.9972242311
381	0.9970455062
382	0.9969668021
383	0.9968660388
384	0.996791155
385	0.9967107322
386	0.9965572814
387	0.996440233
388	0.9963381227
389	0.9962674595
390	0.9961873062
391	0.9961033664
392	0.9959955704
393	0.9959165534
394	0.9957880573
395	0.9957319986
396	0.9956145878
397	0.9954798053
398	0.9953849902
399	0.9953038984
400	0.9951560249
401	0.9950440666
402	0.9948185008
403	0.9947444157
404	0.9946603991
405	0.9945295742
406	0.994451863
407	0.9943666639
408	0.9942408895
409	0.9941232416
410	0.9941000196
411	0.9939991556
412	0.9938976261
413	0.99384462
414	0.9937018815
415	0.9936532692
416	0.9935605082
417	0.9935007218
418	0.9934197669
419	0.9932569215
420	0.9931396616
421	0.9930110476
422	0.9928795512
423	0.9928080156
424	0.9927291703
425	0.9926914813
426	0.9925590965
427	0.9924962962
428	0.9924096225
429	0.9923092064
430	0.9922161721
431	0.9922079954
432	0.9921254791
433	0.9919451401
434	0.9918930575
435	0.9918538831
436	0.9917445727
437	0.9916317309
438	0.9915513465
439	0.9914612901
440	0.9914476353
441	0.991399072
442	0.9913304069
443	0.9912661335
444	0.9912222921
445	0.991151856
446	0.9910575488
447	0.9909544471
448	0.9908731832
449	0.990747236
450	0.9905621717
451	0.9904355528
452	0.990388355
453	0.990342243
454	0.9902605344
455	0.990214186
456	0.9901304142
457	0.9900276402
458	0.9899146939
459	0.9898789217
460	0.9898041153
461	0.9897683621
462	0.9896258374
463	0.9894814378
464	0.9894019798
465	0.9893302017
466	0.9891725877
467	0.9891104954
468	0.9890342975
469	0.9889217557
470	0.9888175999
471	0.9887381486
472	0.9886718331
473	0.9885252946
474	0.9884183712
475	0.988301759
476	0.9882053516
477	0.9881543989
478	0.9880306749
479	0.9879814177
480	0.9879007197
481	0.9878560735
482	0.9878256675
483	0.9877343877
484	0.9876553198
485	0.9876011342
486	0.9874513006
487	0.9874313927
488	0.9873455778
489	0.9873142202
490	0.9872773665
491	0.9872098163
492	0.9871128926
493	0.987033863
494	0.9869771035
495	0.9868715873
496	0.9867767216
497	0.9866912268
498	0.986590686
499	0.9864918333
500	0.9864627697
501	0.986360361
502	0.986288161
503	0.9862361605
504	0.9861774501
505	0.9860792119
506	0.985978978
507	0.9859217624
508	0.9858693618
509	0.985810921
510	0.9857566753
511	0.9857203096
512	0.985635962
513	0.9854597339
514	0.9853809266
515	0.9853488763
516	0.9852259736
517	0.9851393425
518	0.9850470781
519	0.9849952546
520	0.9848605699
521	0.9848077346
522	0.984717849
523	0.9846687197
524	0.9846126201
525	0.984574833
526	0.9844506393
527	0.9843901161
528	0.9842912759
529	0.9841461182
530	0.9840821215
531	0.9840225096
532	0.9839547246
533	0.9838599127
534	0.9837741459
535	0.9837225975
536	0.9836100047
537	0.9835431845
538	0.9834844024
539	0.9834255732
540	0.9833608951
541	0.9832947833
542	0.9832485645
543	0.983116095
544	0.9830643169
545	0.9829669234
546	0.9829125441
547	0.9828143071
548	0.9827733751
549	0.982707628
550	0.9826913447
551	0.9825934491
552	0.982548828
553	0.9825032467
554	0.9824369977
555	0.9823022593
556	0.9822408283
557	0.9820707939
558	0.9820072637
559	0.9819034004
560	0.9818125503
561	0.9816887249
562	0.981674984
563	0.9816034945
564	0.9815510855
565	0.9814466854
566	0.9813070742
567	0.9812964874
568	0.981213589
569	0.9811195009
570	0.9809614108
571	0.9808923581
572	0.9807943255
573	0.9806677488
574	0.9806019281
575	0.9805107217
576	0.9804254047
577	0.980285815
578	0.9802073534
579	0.9801476517
580	0.9800656489
581	0.9799933914
582	0.979925595
583	0.9798368135
584	0.9797280636
585	0.9796989782
586	0.9796228635
587	0.9795374753
588	0.9794524552
589	0.9793878093
590	0.9792746257
591	0.9791828583
592	0.9791721582
593	0.9791092812
594	0.9790572362
595	0.9789892989
596	0.9788694713
597	0.9788218915
598	0.9787847076
599	0.9787015619
600	0.9785611524
601	0.9784649095
602	0.978337406
603	0.9782505543
604	0.9781374143
605	0.9780499506
606	0.978037536
607	0.9779586504
608	0.9778477849
609	0.9778189699
610	0.9776998975
611	0.9775577109
612	0.9775411817
613	0.9774915039
614	0.9774397562
615	0.9773849534
616	0.977358081
617	0.9772163816
618	0.9771807624
619	0.9770857813
620	0.977019214
621	0.9769247844
622	0.9768523755
623	0.9767697088
624	0.9767340232
625	0.9766650468
626	0.9765221558
627	0.9764629025
628	0.976388198
629	0.9762442451
630	0.9761453276
631	0.9761067223
632	0.9760284692
633	0.9760114882
634	0.9759245056
635	0.9758598351
636	0.9757344726
637	0.975656682
638	0.9755702507
639	0.9754504369
640	0.975391102
641	0.9753255274
642	0.9752155393
643	0.9751881789
644	0.9751075244
645	0.975041
646	0.974989649
647	0.9749265558
648	0.9748130571
649	0.9747171017
650	0.9746859813
